Employee Name,Employee ID,Department,KPI Score,Attendance,Number of Training,Productivity Score,Absenteeism Rate,Turnover Rate,Manager Feedback,Projects Completed
Fatima Danladi,NG1001,IT,56,83,4,57,1,24,2,7
Ibrahim Yakubu,NG1002,Marketing,64,72,0,80,3,10,1,19
Sola Adebayo,NG1003,HR,63,93,10,97,10,13,1,19
Ibrahim Eze,NG1004,Marketing,50,73,1,90,9,23,4,19
Aisha Ogunleye,NG1005,Marketing,86,80,2,85,0,20,5,18
Tunde Abdullahi,NG1006,Marketing,100,90,1,59,7,19,4,15
Fatima Ogunleye,NG1007,Marketing,68,82,8,76,1,20,3,12
Aisha Yakubu,NG1008,HR,72,89,7,55,7,30,5,8
Ngozi Balogun,NG1009,Marketing,67,76,5,79,4,18,2,19
Tunde Yakubu,NG1010,Finance,55,73,1,83,7,5,2,8
Ibrahim Danladi,NG1011,Sales,67,71,0,52,4,2,3,19
Aisha Adebayo,NG1012,Operations,59,73,8,75,7,8,5,15
Kemi Nwankwo,NG1013,Finance,95,79,9,90,9,3,5,10
Kemi Salami,NG1014,Finance,77,98,7,76,8,9,1,20
Bola Ogunleye,NG1015,Operations,97,83,5,99,7,26,5,20
Ibrahim Abdullahi,NG1016,IT,59,85,9,85,3,30,4,7
Aisha Abdullahi,NG1017,Sales,61,77,2,90,0,8,2,9
Chinedu Adebayo,NG1018,HR,70,75,5,57,10,24,3,10
Emeka Adebayo,NG1019,Finance,99,82,2,78,8,30,3,11
Chinedu Yakubu,NG1020,Marketing,76,93,1,55,3,24,2,1
Tunde Abdullahi,NG1021,HR,78,71,1,100,9,25,2,2
Emeka Eze,NG1022,Operations,78,83,0,50,8,4,1,20
Tunde Eze,NG1023,Sales,51,93,4,78,8,19,4,4
Fatima Okafor,NG1024,Sales,72,83,5,96,3,13,3,7
Ibrahim Salami,NG1025,Finance,72,93,4,68,5,10,4,10
Kemi Ogunleye,NG1026,Operations,52,92,9,100,2,21,2,9
Tunde Ogunleye,NG1027,IT,80,93,2,86,3,26,3,13
Ngozi Ogunleye,NG1028,HR,54,93,0,53,1,3,2,6
Ibrahim Salami,NG1029,Operations,74,85,6,84,9,8,1,7
Ibrahim Danladi,NG1030,Sales,70,71,10,92,2,24,1,12
Tunde Salami,NG1031,Finance,95,70,8,54,2,2,2,18
Ngozi Okafor,NG1032,Sales,65,70,9,86,9,8,5,10
Aisha Abdullahi,NG1033,Operations,58,93,1,70,1,2,1,16
Chinedu Abdullahi,NG1034,Marketing,84,88,4,73,8,30,3,16
Tunde Ogunleye,NG1035,Finance,73,82,3,56,3,6,5,18
Aisha Abdullahi,NG1036,Sales,56,98,1,74,7,26,1,6
Tunde Ogunleye,NG1037,Sales,90,79,3,81,8,24,1,6
Aisha Okafor,NG1038,HR,85,84,4,63,8,1,4,10
Tunde Danladi,NG1039,Sales,77,87,3,59,5,17,3,3
Sola Adebayo,NG1040,IT,98,88,8,74,5,26,5,7
Chinedu Okafor,NG1041,Marketing,100,80,5,68,6,26,3,18
Ngozi Abdullahi,NG1042,Finance,98,90,5,86,0,14,4,3
Sola Salami,NG1043,Sales,59,73,10,67,6,0,3,6
Chinedu Adebayo,NG1044,Finance,88,84,8,84,1,27,2,18
Bola Okafor,NG1045,Finance,85,97,7,80,6,23,5,7
Bola Ogunleye,NG1046,IT,63,89,1,72,9,20,3,7
Ngozi Yakubu,NG1047,HR,83,78,4,52,0,5,2,7
Emeka Nwankwo,NG1048,HR,50,81,1,52,3,18,1,9
Aisha Danladi,NG1049,Operations,95,87,6,58,4,5,5,9
Chinedu Balogun,NG1050,IT,51,82,5,78,10,27,3,10
Chinedu Nwankwo,NG1051,Operations,87,87,9,80,0,7,2,17
Fatima Yakubu,NG1052,HR,78,85,8,94,8,15,3,7
Fatima Ogunleye,NG1053,HR,51,99,4,94,5,5,1,11
Emeka Eze,NG1054,Operations,75,94,1,88,4,22,5,6
Fatima Yakubu,NG1055,Sales,80,84,8,84,5,5,5,18
Bola Abdullahi,NG1056,Operations,69,82,3,67,3,26,3,5
Kemi Adebayo,NG1057,Finance,70,100,0,94,1,22,3,8
Emeka Danladi,NG1058,IT,88,89,1,70,8,16,3,9
Chinedu Abdullahi,NG1059,Finance,80,92,3,54,6,23,1,5
